sample_id,time_point,X_test,y_test,y_pred
0,0,0.0,0.5023696856145281,0.2247155059351456
0,1,0.05263157894736842,0.4352752916896774,0.15971510433438257
0,2,0.10526315789473684,0.5356501100505477,0.18396674468570143
0,3,0.15789473684210525,0.5155744211433211,0.1429408711366791
0,4,0.21052631578947367,0.6028744935079857,0.21234472259970094
0,5,0.2631578947368421,0.5212611438857517,0.13743401369757538
0,6,0.3157894736842105,0.5585248011074174,0.3558150392324976
0,7,0.3684210526315789,0.5888739312823849,0.39710445378807524
0,8,0.42105263157894735,0.565453402549158,0.1463228031134738
0,9,0.47368421052631576,0.6438524295686564,-0.006223989578703182
0,10,0.5263157894736842,0.6018662462001106,0.3163143323455553
0,11,0.5789473684210527,0.5213436149816925,0.14257156995757328
0,12,0.631578947368421,0.6071828771822338,0.1794933849784001
0,13,0.6842105263157894,0.4989420753257108,0.26351029960539163
0,14,0.7368421052631579,0.6009978005208356,0.08694707918779866
0,15,0.7894736842105263,0.5677903361759306,0.07057380159521781
0,16,0.8421052631578947,0.6286111339111757,0.23386460426868344
0,17,0.894736842105263,0.5673884295784902,0.3397373071529988
0,18,0.9473684210526315,0.6005619847176362,0.5044755255228613
0,19,1.0,0.5546215181940803,0.08610358485449625
1,0,0.0,0.42716334737108463,0.2247155059351456
1,1,0.05263157894736842,0.48855151350153525,0.15971510433438257
1,2,0.10526315789473684,0.3927718325971583,0.18396674468570143
1,3,0.15789473684210525,0.48783971441354174,0.1429408711366791
1,4,0.21052631578947367,0.4039306766592576,0.21234472259970094
1,5,0.2631578947368421,0.44667258118052056,0.13743401369757538
1,6,0.3157894736842105,0.4528680795709714,0.3558150392324976
1,7,0.3684210526315789,0.5397591738955746,0.39710445378807524
1,8,0.42105263157894735,0.4389641220115115,0.1463228031134738
1,9,0.47368421052631576,0.5540607262593511,-0.006223989578703182
1,10,0.5263157894736842,0.39621902411108545,0.3163143323455553
1,11,0.5789473684210527,0.536400644119492,0.14257156995757328
1,12,0.631578947368421,0.5818580547786462,0.1794933849784001
1,13,0.6842105263157894,0.5272902902809841,0.26351029960539163
1,14,0.7368421052631579,0.5758563687009168,0.08694707918779866
1,15,0.7894736842105263,0.5438529997157151,0.07057380159521781
1,16,0.8421052631578947,0.6213950479779026,0.23386460426868344
1,17,0.894736842105263,0.46590026434288245,0.3397373071529988
1,18,0.9473684210526315,0.45053035966981253,0.5044755255228613
1,19,1.0,0.5299848245413907,0.08610358485449625
2,0,0.0,0.4214337010504477,0.2247155059351456
2,1,0.05263157894736842,0.4417666006189617,0.15971510433438257
2,2,0.10526315789473684,0.5580816937446612,0.18396674468570143
2,3,0.15789473684210525,0.5657911150485829,0.1429408711366791
2,4,0.21052631578947367,0.615330634891574,0.21234472259970094
2,5,0.2631578947368421,0.5009128210178151,0.13743401369757538
2,6,0.3157894736842105,0.45475787971723897,0.3558150392324976
2,7,0.3684210526315789,0.596636088135859,0.39710445378807524
2,8,0.42105263157894735,0.5690262534136851,0.1463228031134738
2,9,0.47368421052631576,0.6385014493005072,-0.006223989578703182
2,10,0.5263157894736842,0.5736495823473904,0.3163143323455553
2,11,0.5789473684210527,0.6373907961830204,0.14257156995757328
2,12,0.631578947368421,0.553610827317003,0.1794933849784001
2,13,0.6842105263157894,0.5178735815200415,0.26351029960539163
2,14,0.7368421052631579,0.5472322090243882,0.08694707918779866
2,15,0.7894736842105263,0.5941995417462855,0.07057380159521781
2,16,0.8421052631578947,0.4780105184801008,0.23386460426868344
2,17,0.894736842105263,0.5596526369495877,0.3397373071529988
2,18,0.9473684210526315,0.5800504447388044,0.5044755255228613
2,19,1.0,0.49743865455644765,0.08610358485449625
3,0,0.0,0.5098448266248276,0.2247155059351456
3,1,0.05263157894736842,0.5356440941353289,0.15971510433438257
3,2,0.10526315789473684,0.5824818312645507,0.18396674468570143
3,3,0.15789473684210525,0.6116175566112193,0.1429408711366791
3,4,0.21052631578947367,0.4615970914074806,0.21234472259970094
3,5,0.2631578947368421,0.6981522126124899,0.13743401369757538
3,6,0.3157894736842105,0.5990897156870942,0.3558150392324976
3,7,0.3684210526315789,0.5678839824249216,0.39710445378807524
3,8,0.42105263157894735,0.6158908789535525,0.1463228031134738
3,9,0.47368421052631576,0.5351649461037475,-0.006223989578703182
3,10,0.5263157894736842,0.5746639196471997,0.3163143323455553
3,11,0.5789473684210527,0.526922813032067,0.14257156995757328
3,12,0.631578947368421,0.5533523857797864,0.1794933849784001
3,13,0.6842105263157894,0.49123533817271847,0.26351029960539163
3,14,0.7368421052631579,0.4212879889983935,0.08694707918779866
3,15,0.7894736842105263,0.4147923356351512,0.07057380159521781
3,16,0.8421052631578947,0.43892316363658906,0.23386460426868344
3,17,0.894736842105263,0.3845893711065541,0.3397373071529988
3,18,0.9473684210526315,0.47301188466596744,0.5044755255228613
3,19,1.0,0.4550572233626751,0.08610358485449625
4,0,0.0,0.4408163184438076,0.2247155059351456
4,1,0.05263157894736842,0.49461715304893406,0.15971510433438257
4,2,0.10526315789473684,0.4196207580991766,0.18396674468570143
4,3,0.15789473684210525,0.4109837733490006,0.1429408711366791
4,4,0.21052631578947367,0.37912590641684374,0.21234472259970094
4,5,0.2631578947368421,0.45881281545687363,0.13743401369757538
4,6,0.3157894736842105,0.42097357218349507,0.3558150392324976
4,7,0.3684210526315789,0.518417639687034,0.39710445378807524
4,8,0.42105263157894735,0.4779978683129413,0.1463228031134738
4,9,0.47368421052631576,0.40212418294419106,-0.006223989578703182
