sample_id,time_point,X_test,y_test,y_pred,y_test_original,y_pred_original
0,0,0.0,0.2671278411530104,0.02259876019052476,0.5185301577384753,0.5024311696591803
0,1,-6.106226635438361e-16,0.5555962890744653,-0.0387460849523867,0.5365631866880773,0.49742736034634544
0,2,-1.2212453270876722e-15,-1.3776310127923734,-0.01986539012941615,0.40995880933999396,0.4999853565568639
0,3,1.5182299861749016e-14,-0.9512163431480095,-0.03464139326462732,0.43769576146261585,0.4978894280236639
0,4,-2.4424906541753444e-15,-0.5015935506315943,0.008013789309605753,0.46706015848348326,0.5004549568931853
0,5,-1.8263168755083825e-14,0.0788509753382933,-0.019688437780608525,0.505164124382656,0.4987038593533855
0,6,3.036459972349803e-14,2.1730208416450156,0.019073081221756345,0.6414685599184764,0.5002434643271828
0,7,-3.574918139293004e-14,1.0331186592924246,-0.010043821750930328,0.5694439087750199,0.5001034911608248
0,8,-4.884981308350689e-15,1.154129303430503,-0.013181803897228256,0.5753926859036846,0.4990806363917213
0,9,3.2585045772748344e-14,1.6363438210709027,-0.0025857610092762428,0.6077826431039977,0.500225201494393
0,10,-3.652633751016765e-14,0.15388478947862755,-0.016377092717372862,0.5102121496480986,0.49886372271502843
0,11,-5.517808432387028e-14,1.1380594359159466,-0.021633710553901682,0.5753678637900257,0.49855552020186256
0,12,6.072919944699606e-14,0.17039745475435958,0.01686361604506694,0.510083746113055,0.4997882429124703
0,13,-3.985700658404312e-14,1.2750386569612835,-0.020959181778953225,0.5848482738474079,0.4984547370017079
0,14,-7.149836278586008e-14,1.6085617251408013,0.002476923372166865,0.6059853113655815,0.49967647878326393
0,15,3.108624468950438e-14,0.838454837508207,0.02539323975028653,0.5554848645359779,0.5021559187846872
0,16,-9.769962616701378e-15,1.2740072777730742,0.007471707495617122,0.582694996810166,0.5008423979979373
0,17,-4.463096558993129e-14,-0.6137711877107813,0.037232270939574895,0.46001304075414245,0.5023972626311239
0,18,6.517009154549669e-14,1.0238761869146629,0.012945140191764265,0.5658108628604784,0.49966536790672217
0,19,0.0,0.11427844252954186,0.018656063655052377,0.5083981205997703,0.5020442878630582
1,0,0.0,0.6989619818426733,0.02259876019052476,0.5469606930998789,0.5024311696591803
1,1,-6.106226635438361e-16,0.5419599816331309,-0.0387460849523867,0.5356652729883511,0.49742736034634544
1,2,-1.2212453270876722e-15,0.6547033954390943,-0.01986539012941615,0.5447125890124208,0.4999853565568639
1,3,1.5182299861749016e-14,0.2959018803657288,-0.03464139326462732,0.5195969944364646,0.4978894280236639
1,4,-2.4424906541753444e-15,-0.4025337801796678,0.008013789309605753,0.4735515898375433,0.5004549568931853
1,5,-1.8263168755083825e-14,-0.9461268804591967,-0.019688437780608525,0.4379663566265682,0.4987038593533855
1,6,3.036459972349803e-14,-0.6508172409836953,0.019073081221756345,0.4563216355217539,0.5002434643271828
1,7,-3.574918139293004e-14,0.6586711654790645,-0.010043821750930328,0.544553878633562,0.5001034911608248
1,8,-4.884981308350689e-15,0.12710404548689172,-0.013181803897228256,0.5082517139363669,0.4990806363917213
1,9,3.2585045772748344e-14,-0.6434418201367914,-0.0025857610092762428,0.45816797163325246,0.500225201494393
1,10,-3.652633751016765e-14,-0.6774846508493253,-0.016377092717372862,0.4547990693610606,0.49886372271502843
1,11,-5.517808432387028e-14,-1.4444492529697543,-0.021633710553901682,0.4043152492825184,0.49855552020186256
1,12,6.072919944699606e-14,-0.5602074619051824,0.01686361604506694,0.4610916456024075,0.4997882429124703
1,13,-3.985700658404312e-14,-0.8848971965258904,-0.020959181778953225,0.4408630817702514,0.4984547370017079
1,14,-7.149836278586008e-14,-0.4980695337376358,0.002476923372166865,0.46654466068128064,0.49967647878326393
1,15,3.108624468950438e-14,-0.848299590985928,0.02539323975028653,0.44485015289670626,0.5021559187846872
1,16,-9.769962616701378e-15,-1.1178998811853638,0.007471707495617122,0.42811282661858346,0.5008423979979373
1,17,-4.463096558993129e-14,-1.2644300308499759,0.037232270939574895,0.41765125540970666,0.5023972626311239
1,18,6.517009154549669e-14,-0.745593467755571,0.012945140191764265,0.450033979270616,0.49966536790672217
1,19,0.0,0.2946746552497622,0.018656063655052377,0.5203849313803834,0.5020442878630582
2,0,0.0,-0.28917051543877514,0.02259876019052476,0.48190530896363165,0.5024311696591803
